"times","A_flux","inert_flux","A_concentration","AZ_concentration","A_rate","AZ_rate"
0.844,0.363565863341191,0.391400072245673,0.328238173005172,0.0192755675973866,-0.00803745299178504,-0.0465885881865583
0.845,0.362688161612858,0.390435628325837,0.327445737677273,0.0192290352373988,-0.00801810641911122,-0.0464761768939088
0.846,0.36181257818387,0.389473560853667,0.32665521518678,0.0191826151534952,-0.00799880560510763,-0.046364035912098
0.847,0.360939107951657,0.388513863974028,0.325866600920709,0.0191363070756826,-0.00797955045483661,-0.0462521646062019
0.848,0.360067745825775,0.387556531846202,0.325079890277135,0.0190901107346021,-0.00796034087333586,-0.04614056234254
0.849,0.359198486727885,0.386601558643846,0.324295078665157,0.0190440258615276,-0.00794117676562184,-0.0460292284886771
0.85,0.358331325591725,0.385648938554963,0.323512161504878,0.0189980521883652,-0.00792205803669388,-0.0459181624134243
0.851,0.357466257363085,0.384698665781861,0.322731134227379,0.0189521894476512,-0.00790298459153943,-0.0458073634868419
0.852,0.356603276999778,0.383750734541124,0.32195199227469,0.0189064373725515,-0.00788395633513705,-0.0456968310802401
0.853,0.355742379471617,0.382805139063572,0.321174731099773,0.0188607956968599,-0.00786497317246021,-0.0455865645661801
0.854,0.354883559760387,0.381861873594228,0.320399346166487,0.0188152641549971,-0.00784603500848152,-0.0454765633184757
0.855,0.354026812859822,0.380920932392285,0.319625832949571,0.0187698424820092,-0.00782714174817695,-0.0453668267121953
0.856,0.353172133775572,0.37998230973107,0.318854186934615,0.0187245304135668,-0.00780829329652821,-0.0452573541236618
0.857,0.352319517525187,0.379045999898008,0.318084403618035,0.0186793276859634,-0.00778948955852804,-0.0451481449304549
0.858,0.35146895913808,0.37811199719459,0.31731647850705,0.0186342340361145,-0.00777073043918258,-0.0450391985114116
0.859,0.35062045365551,0.377180295936337,0.316550407119654,0.0185892492015559,-0.00775201584351537,-0.0449305142466271
0.86,0.349773996130552,0.376250890452766,0.315786184984595,0.0185443729204427,-0.00773334567657025,-0.0448220915174557
0.861,0.348929581628069,0.375323775087357,0.315023807641347,0.0184996049315482,-0.00771471984341537,-0.0447139297065118
