"","times","A_flux","B_flux","AB_flux","inert_flux","A_concentration","B_concentration","AB_concentration","AZ_concentration","BZ_concentration","Z_concentration","A_rate","B_rate","AB_rate","AZ_rate","BZ_rate","Z_rate"
"556",0.555,0.20225,0.30743,0.49499,0.79846,0.15684,0.25314,0.46979,0.55122,0.00142,-0.55264,0.34758,0.30643,-0.31336,0.3818,-0.00693,-0.37487
"557",0.556,0.20108,0.30605,0.4944,0.79649,0.15593,0.252,0.46915,0.5516,0.00141,-0.55301,0.34581,0.30516,-0.31205,0.37956,-0.00689,-0.37267
"558",0.557,0.19991,0.30468,0.4938,0.79453,0.15503,0.25086,0.46851,0.55198,0.00141,-0.55338,0.34404,0.30389,-0.31075,0.37734,-0.00685,-0.37049
"559",0.558,0.19875,0.30331,0.49321,0.79257,0.15413,0.24973,0.46786,0.55235,0.0014,-0.55375,0.34229,0.30263,-0.30945,0.37513,-0.00682,-0.36831
"560",0.559,0.1976,0.30194,0.49261,0.79062,0.15323,0.24861,0.46722,0.55273,0.00139,-0.55412,0.34054,0.30137,-0.30815,0.37292,-0.00678,-0.36614
"561",0.56,0.19645,0.30058,0.49201,0.78867,0.15235,0.24749,0.46658,0.5531,0.00139,-0.55449,0.3388,0.30012,-0.30687,0.37073,-0.00674,-0.36399
"562",0.561,0.19531,0.29923,0.49141,0.78673,0.15146,0.24638,0.46593,0.55347,0.00138,-0.55485,0.33707,0.29888,-0.30558,0.36855,-0.00671,-0.36184
"563",0.562,0.19417,0.29789,0.49081,0.78479,0.15058,0.24527,0.46528,0.55384,0.00137,-0.55521,0.33534,0.29763,-0.3043,0.36638,-0.00667,-0.35971
"564",0.563,0.19304,0.29655,0.49021,0.78286,0.14971,0.24417,0.46464,0.5542,0.00137,-0.55557,0.33362,0.29639,-0.30303,0.36421,-0.00664,-0.35758
"565",0.564,0.19192,0.29521,0.4896,0.78093,0.14884,0.24307,0.46399,0.55456,0.00136,-0.55592,0.33191,0.29516,-0.30176,0.36206,-0.0066,-0.35546
"566",0.565,0.19081,0.29388,0.489,0.779,0.14798,0.24197,0.46334,0.55492,0.00135,-0.55628,0.33021,0.29393,-0.30049,0.35992,-0.00656,-0.35336
"567",0.566,0.1897,0.29256,0.48839,0.77709,0.14712,0.24088,0.46269,0.55528,0.00135,-0.55663,0.32851,0.2927,-0.29923,0.35779,-0.00653,-0.35126
"568",0.567,0.1886,0.29125,0.48778,0.77517,0.14627,0.2398,0.46205,0.55564,0.00134,-0.55698,0.32682,0.29148,-0.29798,0.35567,-0.0065,-0.34917
"569",0.568,0.1875,0.28994,0.48717,0.77326,0.14542,0.23872,0.4614,0.556,0.00133,-0.55733,0.32514,0.29027,-0.29673,0.35356,-0.00646,-0.3471
"570",0.569,0.18641,0.28863,0.48656,0.77136,0.14458,0.23765,0.46075,0.55635,0.00133,-0.55768,0.32347,0.28906,-0.29548,0.35146,-0.00643,-0.34503
"571",0.57,0.18533,0.28733,0.48595,0.76946,0.14374,0.23658,0.46009,0.5567,0.00132,-0.55802,0.32181,0.28785,-0.29424,0.34937,-0.00639,-0.34298
"572",0.571,0.18425,0.28604,0.48534,0.76756,0.14291,0.23551,0.45944,0.55705,0.00131,-0.55836,0.32015,0.28665,-0.29301,0.34729,-0.00636,-0.34093
"573",0.572,0.18318,0.28476,0.48473,0.76567,0.14208,0.23445,0.45879,0.55739,0.00131,-0.5587,0.3185,0.28545,-0.29177,0.34522,-0.00632,-0.33889
"574",0.573,0.18212,0.28347,0.48411,0.76378,0.14125,0.2334,0.45814,0.55774,0.0013,-0.55904,0.31685,0.28426,-0.29055,0.34316,-0.00629,-0.33687
"575",0.574,0.18106,0.2822,0.4835,0.7619,0.14044,0.23235,0.45748,0.55808,0.0013,-0.55938,0.31522,0.28307,-0.28932,0.34111,-0.00626,-0.33485
"576",0.575,0.18001,0.28093,0.48288,0.76003,0.13962,0.2313,0.45683,0.55842,0.00129,-0.55971,0.31359,0.28188,-0.28811,0.33907,-0.00623,-0.33284
"577",0.576,0.17897,0.27967,0.48226,0.75815,0.13881,0.23026,0.45618,0.55876,0.00128,-0.56004,0.31197,0.2807,-0.28689,0.33704,-0.00619,-0.33085
"578",0.577,0.17793,0.27841,0.48165,0.75629,0.13801,0.22923,0.45552,0.55909,0.00128,-0.56037,0.31035,0.27953,-0.28568,0.33502,-0.00616,-0.32886
"579",0.578,0.1769,0.27716,0.48103,0.75442,0.13721,0.2282,0.45487,0.55943,0.00127,-0.5607,0.30874,0.27835,-0.28448,0.33301,-0.00613,-0.32688
"580",0.579,0.17587,0.27591,0.48041,0.75256,0.13642,0.22717,0.45421,0.55976,0.00127,-0.56102,0.30714,0.27719,-0.28328,0.33101,-0.0061,-0.32491
"581",0.58,0.17485,0.27467,0.47978,0.75071,0.13562,0.22615,0.45356,0.56009,0.00126,-0.56135,0.30555,0.27602,-0.28209,0.32902,-0.00606,-0.32295
"582",0.581,0.17383,0.27343,0.47916,0.74886,0.13484,0.22513,0.4529,0.56042,0.00125,-0.56167,0.30397,0.27486,-0.2809,0.32704,-0.00603,-0.32101
"583",0.582,0.17282,0.2722,0.47854,0.74702,0.13406,0.22412,0.45224,0.56074,0.00125,-0.56199,0.30239,0.27371,-0.27971,0.32507,-0.006,-0.31907
"584",0.583,0.17182,0.27098,0.47791,0.74518,0.13328,0.22311,0.45158,0.56107,0.00124,-0.56231,0.30082,0.27256,-0.27853,0.32311,-0.00597,-0.31714
"585",0.584,0.17082,0.26976,0.47729,0.74334,0.13251,0.2221,0.45093,0.56139,0.00124,-0.56262,0.29925,0.27142,-0.27735,0.32115,-0.00594,-0.31522
"586",0.585,0.16983,0.26855,0.47666,0.74151,0.13174,0.2211,0.45027,0.56171,0.00123,-0.56294,0.2977,0.27027,-0.27618,0.31921,-0.00591,-0.31331
"587",0.586,0.16885,0.26734,0.47603,0.73968,0.13098,0.22011,0.44961,0.56203,0.00122,-0.56325,0.29615,0.26914,-0.27501,0.31728,-0.00588,-0.31141
"588",0.587,0.16787,0.26613,0.47541,0.73786,0.13022,0.21912,0.44895,0.56234,0.00122,-0.56356,0.2946,0.268,-0.27385,0.31536,-0.00584,-0.30952
"589",0.588,0.16689,0.26494,0.47478,0.73604,0.12947,0.21813,0.44829,0.56266,0.00121,-0.56387,0.29307,0.26688,-0.27269,0.31345,-0.00581,-0.30763
"590",0.589,0.16592,0.26375,0.47415,0.73423,0.12872,0.21715,0.44763,0.56297,0.00121,-0.56418,0.29154,0.26575,-0.27154,0.31155,-0.00578,-0.30576
"591",0.59,0.16496,0.26256,0.47352,0.73242,0.12797,0.21618,0.44697,0.56328,0.0012,-0.56448,0.29002,0.26463,-0.27039,0.30965,-0.00575,-0.3039
"592",0.591,0.164,0.26138,0.47288,0.73062,0.12723,0.2152,0.44631,0.56359,0.00119,-0.56478,0.2885,0.26352,-0.26924,0.30777,-0.00572,-0.30205
"593",0.592,0.16305,0.2602,0.47225,0.72882,0.1265,0.21423,0.44565,0.5639,0.00119,-0.56509,0.287,0.2624,-0.2681,0.3059,-0.00569,-0.3002
"594",0.593,0.16211,0.25903,0.47162,0.72702,0.12576,0.21327,0.44499,0.5642,0.00118,-0.56539,0.2855,0.2613,-0.26696,0.30403,-0.00566,-0.29837
"595",0.594,0.16116,0.25787,0.47098,0.72523,0.12504,0.21231,0.44432,0.56451,0.00118,-0.56568,0.284,0.26019,-0.26583,0.30218,-0.00564,-0.29654
"596",0.595,0.16023,0.25671,0.47035,0.72344,0.12431,0.21136,0.44366,0.56481,0.00117,-0.56598,0.28252,0.2591,-0.2647,0.30033,-0.00561,-0.29472
"597",0.596,0.1593,0.25555,0.46971,0.72166,0.12359,0.21041,0.443,0.56511,0.00117,-0.56627,0.28104,0.258,-0.26358,0.29849,-0.00558,-0.29292
"598",0.597,0.15838,0.2544,0.46908,0.71988,0.12288,0.20946,0.44234,0.5654,0.00116,-0.56656,0.27956,0.25691,-0.26246,0.29667,-0.00555,-0.29112
"599",0.598,0.15746,0.25326,0.46844,0.71811,0.12217,0.20852,0.44167,0.5657,0.00115,-0.56685,0.2781,0.25583,-0.26134,0.29485,-0.00552,-0.28933
"600",0.599,0.15654,0.25212,0.4678,0.71634,0.12146,0.20758,0.44101,0.56599,0.00115,-0.56714,0.27664,0.25474,-0.26023,0.29304,-0.00549,-0.28755
"601",0.6,0.15564,0.25098,0.46716,0.71458,0.12076,0.20664,0.44035,0.56629,0.00114,-0.56743,0.27519,0.25367,-0.25913,0.29124,-0.00546,-0.28578
"602",0.601,0.15473,0.24985,0.46652,0.71282,0.12006,0.20571,0.43968,0.56658,0.00114,-0.56771,0.27374,0.25259,-0.25803,0.28946,-0.00543,-0.28402
"603",0.602,0.15384,0.24873,0.46588,0.71106,0.11937,0.20479,0.43902,0.56686,0.00113,-0.568,0.2723,0.25152,-0.25693,0.28768,-0.00541,-0.28227
"604",0.603,0.15294,0.24761,0.46524,0.70931,0.11868,0.20387,0.43835,0.56715,0.00113,-0.56828,0.27087,0.25046,-0.25583,0.28591,-0.00538,-0.28053
"605",0.604,0.15206,0.2465,0.4646,0.70756,0.11799,0.20295,0.43769,0.56744,0.00112,-0.56856,0.26944,0.24939,-0.25475,0.28414,-0.00535,-0.27879
"606",0.605,0.15118,0.24539,0.46396,0.70582,0.11731,0.20204,0.43702,0.56772,0.00112,-0.56884,0.26803,0.24834,-0.25366,0.28239,-0.00532,-0.27707
"607",0.606,0.1503,0.24428,0.46331,0.70408,0.11663,0.20113,0.43636,0.568,0.00111,-0.56911,0.26661,0.24728,-0.25258,0.28065,-0.0053,-0.27535
"608",0.607,0.14943,0.24319,0.46267,0.70234,0.11595,0.20022,0.43569,0.56828,0.00111,-0.56939,0.26521,0.24624,-0.2515,0.27891,-0.00527,-0.27365
"609",0.608,0.14856,0.24209,0.46202,0.70061,0.11528,0.19932,0.43503,0.56856,0.0011,-0.56966,0.26381,0.24519,-0.25043,0.27719,-0.00524,-0.27195
"610",0.609,0.1477,0.241,0.46138,0.69889,0.11462,0.19843,0.43436,0.56884,0.0011,-0.56993,0.26242,0.24415,-0.24936,0.27547,-0.00521,-0.27026
"611",0.61,0.14684,0.23992,0.46073,0.69716,0.11396,0.19753,0.43369,0.56911,0.00109,-0.5702,0.26103,0.24311,-0.2483,0.27377,-0.00519,-0.26858
"612",0.611,0.14599,0.23884,0.46009,0.69545,0.1133,0.19665,0.43303,0.56938,0.00109,-0.57047,0.25965,0.24208,-0.24724,0.27207,-0.00516,-0.26691
"613",0.612,0.14515,0.23776,0.45944,0.69373,0.11264,0.19576,0.43236,0.56965,0.00108,-0.57073,0.25828,0.24105,-0.24619,0.27038,-0.00514,-0.26524
"614",0.613,0.14431,0.23669,0.45879,0.69202,0.11199,0.19488,0.4317,0.56992,0.00108,-0.571,0.25692,0.24002,-0.24513,0.2687,-0.00511,-0.26359
"615",0.614,0.14347,0.23563,0.45814,0.69032,0.11134,0.194,0.43103,0.57019,0.00107,-0.57126,0.25556,0.239,-0.24409,0.26703,-0.00508,-0.26194
"616",0.615,0.14264,0.23457,0.4575,0.68862,0.1107,0.19313,0.43036,0.57046,0.00107,-0.57152,0.2542,0.23799,-0.24304,0.26536,-0.00506,-0.26031
"617",0.616,0.14181,0.23351,0.45685,0.68692,0.11006,0.19226,0.42969,0.57072,0.00106,-0.57178,0.25286,0.23697,-0.24201,0.26371,-0.00503,-0.25868
"618",0.617,0.14099,0.23246,0.4562,0.68523,0.10943,0.1914,0.42903,0.57098,0.00106,-0.57204,0.25152,0.23596,-0.24097,0.26207,-0.00501,-0.25706
"619",0.618,0.14017,0.23142,0.45555,0.68354,0.10879,0.19054,0.42836,0.57125,0.00105,-0.5723,0.25018,0.23496,-0.23994,0.26043,-0.00498,-0.25545
"620",0.619,0.13936,0.23038,0.4549,0.68186,0.10816,0.18968,0.42769,0.57151,0.00105,-0.57255,0.24886,0.23396,-0.23891,0.2588,-0.00496,-0.25385
"621",0.62,0.13855,0.22934,0.45424,0.68018,0.10754,0.18883,0.42703,0.57176,0.00104,-0.5728,0.24754,0.23296,-0.23789,0.25718,-0.00493,-0.25225
"622",0.621,0.13775,0.22831,0.45359,0.6785,0.10692,0.18798,0.42636,0.57202,0.00104,-0.57306,0.24622,0.23197,-0.23687,0.25557,-0.0049,-0.25067
"623",0.622,0.13695,0.22728,0.45294,0.67683,0.1063,0.18713,0.42569,0.57227,0.00103,-0.57331,0.24492,0.23098,-0.23586,0.25397,-0.00488,-0.24909
"624",0.623,0.13616,0.22626,0.45229,0.67516,0.10569,0.18629,0.42502,0.57253,0.00103,-0.57355,0.24361,0.22999,-0.23485,0.25238,-0.00486,-0.24752
"625",0.624,0.13537,0.22524,0.45163,0.6735,0.10508,0.18545,0.42435,0.57278,0.00102,-0.5738,0.24232,0.22901,-0.23384,0.2508,-0.00483,-0.24597
"626",0.625,0.13459,0.22423,0.45098,0.67184,0.10447,0.18462,0.42369,0.57303,0.00102,-0.57405,0.24103,0.22803,-0.23284,0.24922,-0.00481,-0.24441
"627",0.626,0.13381,0.22322,0.45032,0.67018,0.10387,0.18379,0.42302,0.57328,0.00101,-0.57429,0.23975,0.22706,-0.23184,0.24765,-0.00478,-0.24287
"628",0.627,0.13303,0.22221,0.44967,0.66853,0.10327,0.18296,0.42235,0.57352,0.00101,-0.57453,0.23847,0.22609,-0.23085,0.24609,-0.00476,-0.24134
"629",0.628,0.13226,0.22121,0.44901,0.66689,0.10267,0.18214,0.42168,0.57377,0.001,-0.57477,0.2372,0.22512,-0.22986,0.24454,-0.00473,-0.23981
"630",0.629,0.1315,0.22022,0.44836,0.66524,0.10208,0.18132,0.42101,0.57401,0.001,-0.57501,0.23594,0.22416,-0.22887,0.243,-0.00471,-0.23829
"631",0.63,0.13073,0.21923,0.4477,0.6636,0.10149,0.1805,0.42035,0.57426,0.00099,-0.57525,0.23468,0.2232,-0.22789,0.24147,-0.00469,-0.23678
"632",0.631,0.12998,0.21824,0.44705,0.66197,0.1009,0.17969,0.41968,0.5745,0.00099,-0.57548,0.23343,0.22225,-0.22691,0.23994,-0.00466,-0.23528
"633",0.632,0.12923,0.21726,0.44639,0.66034,0.10032,0.17888,0.41901,0.57474,0.00098,-0.57572,0.23218,0.22129,-0.22593,0.23843,-0.00464,-0.23379
"634",0.633,0.12848,0.21628,0.44573,0.65871,0.09974,0.17808,0.41834,0.57497,0.00098,-0.57595,0.23094,0.22035,-0.22496,0.23692,-0.00462,-0.2323
"635",0.634,0.12773,0.21531,0.44507,0.65709,0.09917,0.17728,0.41767,0.57521,0.00097,-0.57618,0.22971,0.2194,-0.224,0.23542,-0.00459,-0.23082
"636",0.635,0.12699,0.21434,0.44442,0.65547,0.0986,0.17648,0.41701,0.57544,0.00097,-0.57641,0.22848,0.21846,-0.22303,0.23392,-0.00457,-0.22936
"637",0.636,0.12626,0.21338,0.44376,0.65385,0.09803,0.17569,0.41634,0.57568,0.00096,-0.57664,0.22726,0.21753,-0.22207,0.23244,-0.00455,-0.22789
"638",0.637,0.12553,0.21242,0.4431,0.65224,0.09746,0.1749,0.41567,0.57591,0.00096,-0.57687,0.22604,0.21659,-0.22112,0.23096,-0.00452,-0.22644
"639",0.638,0.1248,0.21146,0.44244,0.65064,0.0969,0.17411,0.415,0.57614,0.00096,-0.5771,0.22483,0.21567,-0.22017,0.2295,-0.0045,-0.225
"640",0.639,0.12408,0.21051,0.44178,0.64903,0.09634,0.17333,0.41433,0.57637,0.00095,-0.57732,0.22363,0.21474,-0.21922,0.22804,-0.00448,-0.22356
"641",0.64,0.12336,0.20956,0.44112,0.64743,0.09578,0.17255,0.41366,0.5766,0.00095,-0.57754,0.22243,0.21382,-0.21827,0.22659,-0.00446,-0.22213
"642",0.641,0.12265,0.20862,0.44046,0.64584,0.09523,0.17177,0.413,0.57682,0.00094,-0.57776,0.22124,0.2129,-0.21733,0.22514,-0.00443,-0.22071
"643",0.642,0.12194,0.20768,0.4398,0.64425,0.09468,0.171,0.41233,0.57705,0.00094,-0.57798,0.22005,0.21199,-0.2164,0.22371,-0.00441,-0.21929
"644",0.643,0.12123,0.20675,0.43914,0.64266,0.09414,0.17023,0.41166,0.57727,0.00093,-0.5782,0.21887,0.21108,-0.21547,0.22228,-0.00439,-0.21789
"645",0.644,0.12053,0.20582,0.43848,0.64108,0.09359,0.16947,0.41099,0.57749,0.00093,-0.57842,0.2177,0.21017,-0.21454,0.22086,-0.00437,-0.21649
"646",0.645,0.11984,0.20489,0.43782,0.6395,0.09305,0.1687,0.41033,0.57771,0.00092,-0.57864,0.21653,0.20927,-0.21361,0.21945,-0.00435,-0.2151
"647",0.646,0.11914,0.20397,0.43716,0.63792,0.09252,0.16795,0.40966,0.57793,0.00092,-0.57885,0.21537,0.20837,-0.21269,0.21804,-0.00432,-0.21372
"648",0.647,0.11845,0.20305,0.4365,0.63635,0.09198,0.16719,0.40899,0.57815,0.00092,-0.57906,0.21421,0.20747,-0.21177,0.21665,-0.0043,-0.21234
"649",0.648,0.11777,0.20214,0.43583,0.63478,0.09145,0.16644,0.40832,0.57836,0.00091,-0.57927,0.21306,0.20658,-0.21086,0.21526,-0.00428,-0.21098
"650",0.649,0.11709,0.20123,0.43517,0.63322,0.09093,0.16569,0.40766,0.57858,0.00091,-0.57948,0.21191,0.20569,-0.20995,0.21388,-0.00426,-0.20962
"651",0.65,0.11641,0.20033,0.43451,0.63166,0.0904,0.16495,0.40699,0.57879,9e-04,-0.57969,0.21077,0.2048,-0.20904,0.2125,-0.00424,-0.20826
"652",0.651,0.11574,0.19942,0.43385,0.6301,0.08988,0.1642,0.40632,0.579,9e-04,-0.5799,0.20964,0.20392,-0.20814,0.21114,-0.00422,-0.20692
"653",0.652,0.11507,0.19853,0.43318,0.62855,0.08936,0.16347,0.40565,0.57921,0.00089,-0.58011,0.20851,0.20304,-0.20724,0.20978,-0.0042,-0.20558
"654",0.653,0.1144,0.19763,0.43252,0.627,0.08885,0.16273,0.40499,0.57942,0.00089,-0.58031,0.20739,0.20217,-0.20635,0.20843,-0.00418,-0.20425
"655",0.654,0.11374,0.19675,0.43186,0.62545,0.08834,0.162,0.40432,0.57963,0.00089,-0.58052,0.20627,0.2013,-0.20545,0.20709,-0.00416,-0.20293
"656",0.655,0.11308,0.19586,0.43119,0.62391,0.08783,0.16127,0.40365,0.57984,0.00088,-0.58072,0.20516,0.20043,-0.20457,0.20575,-0.00413,-0.20162
"657",0.656,0.11243,0.19498,0.43053,0.62238,0.08732,0.16055,0.40299,0.58004,0.00088,-0.58092,0.20405,0.19957,-0.20368,0.20442,-0.00411,-0.20031
"658",0.657,0.11178,0.1941,0.42987,0.62084,0.08682,0.15982,0.40232,0.58025,0.00087,-0.58112,0.20295,0.19871,-0.2028,0.2031,-0.00409,-0.19901
"659",0.658,0.11114,0.19323,0.4292,0.61931,0.08632,0.15911,0.40166,0.58045,0.00087,-0.58132,0.20186,0.19785,-0.20192,0.20179,-0.00407,-0.19772
"660",0.659,0.11049,0.19236,0.42854,0.61779,0.08582,0.15839,0.40099,0.58065,0.00087,-0.58151,0.20077,0.197,-0.20105,0.20049,-0.00405,-0.19643
"661",0.66,0.10985,0.1915,0.42788,0.61626,0.08533,0.15768,0.40032,0.58085,0.00086,-0.58171,0.19968,0.19615,-0.20018,0.19919,-0.00403,-0.19516
"662",0.661,0.10922,0.19063,0.42721,0.61475,0.08484,0.15697,0.39966,0.58105,0.00086,-0.5819,0.19861,0.1953,-0.19931,0.1979,-0.00401,-0.19388
"663",0.662,0.10859,0.18978,0.42655,0.61323,0.08435,0.15626,0.39899,0.58124,0.00085,-0.5821,0.19753,0.19446,-0.19845,0.19661,-0.00399,-0.19262
"664",0.663,0.10796,0.18892,0.42588,0.61172,0.08386,0.15556,0.39833,0.58144,0.00085,-0.58229,0.19646,0.19362,-0.19759,0.19534,-0.00397,-0.19137
"665",0.664,0.10734,0.18807,0.42522,0.61021,0.08338,0.15486,0.39766,0.58163,0.00085,-0.58248,0.1954,0.19278,-0.19673,0.19407,-0.00395,-0.19012
"666",0.665,0.10672,0.18723,0.42455,0.60871,0.0829,0.15417,0.397,0.58183,0.00084,-0.58267,0.19435,0.19195,-0.19588,0.19281,-0.00393,-0.18887
"667",0.666,0.1061,0.18639,0.42389,0.60721,0.08242,0.15347,0.39633,0.58202,0.00084,-0.58286,0.19329,0.19112,-0.19503,0.19155,-0.00392,-0.18764
"668",0.667,0.10549,0.18555,0.42322,0.60571,0.08195,0.15278,0.39567,0.58221,0.00083,-0.58305,0.19225,0.19029,-0.19419,0.19031,-0.0039,-0.18641
"669",0.668,0.10488,0.18471,0.42256,0.60422,0.08148,0.1521,0.39501,0.5824,0.00083,-0.58323,0.19121,0.18947,-0.19334,0.18907,-0.00388,-0.18519
"670",0.669,0.10427,0.18388,0.42189,0.60273,0.08101,0.15141,0.39434,0.58259,0.00083,-0.58342,0.19017,0.18865,-0.19251,0.18783,-0.00386,-0.18398
"671",0.67,0.10367,0.18305,0.42123,0.60125,0.08054,0.15073,0.39368,0.58278,0.00082,-0.5836,0.18914,0.18783,-0.19167,0.18661,-0.00384,-0.18277
"672",0.671,0.10307,0.18223,0.42056,0.59977,0.08008,0.15005,0.39301,0.58296,0.00082,-0.58378,0.18811,0.18702,-0.19084,0.18539,-0.00382,-0.18157
"673",0.672,0.10248,0.18141,0.4199,0.59829,0.07962,0.14938,0.39235,0.58315,0.00081,-0.58396,0.18709,0.18621,-0.19001,0.18418,-0.0038,-0.18038
"674",0.673,0.10189,0.1806,0.41923,0.59681,0.07916,0.14871,0.39169,0.58333,0.00081,-0.58414,0.18608,0.1854,-0.18919,0.18297,-0.00378,-0.17919
"675",0.674,0.1013,0.17978,0.41857,0.59534,0.0787,0.14804,0.39103,0.58351,0.00081,-0.58432,0.18507,0.1846,-0.18836,0.18178,-0.00376,-0.17801
"676",0.675,0.10071,0.17898,0.4179,0.59388,0.07825,0.14737,0.39036,0.58369,8e-04,-0.5845,0.18407,0.1838,-0.18755,0.18058,-0.00375,-0.17684
"677",0.676,0.10013,0.17817,0.41724,0.59241,0.0778,0.14671,0.3897,0.58387,8e-04,-0.58467,0.18307,0.183,-0.18673,0.1794,-0.00373,-0.17567
"678",0.677,0.09955,0.17737,0.41657,0.59095,0.07735,0.14605,0.38904,0.58405,8e-04,-0.58485,0.18207,0.18221,-0.18592,0.17822,-0.00371,-0.17451
"679",0.678,0.09898,0.17657,0.41591,0.5895,0.07691,0.1454,0.38838,0.58423,0.00079,-0.58502,0.18108,0.18142,-0.18511,0.17705,-0.00369,-0.17336
"680",0.679,0.09841,0.17578,0.41524,0.58804,0.07646,0.14474,0.38772,0.58441,0.00079,-0.5852,0.1801,0.18063,-0.18431,0.17589,-0.00367,-0.17222
"681",0.68,0.09784,0.17499,0.41458,0.5866,0.07603,0.14409,0.38706,0.58458,0.00078,-0.58537,0.17912,0.17985,-0.18351,0.17473,-0.00365,-0.17108
"682",0.681,0.09728,0.1742,0.41391,0.58515,0.07559,0.14344,0.3864,0.58476,0.00078,-0.58554,0.17814,0.17907,-0.18271,0.17358,-0.00364,-0.16994
"683",0.682,0.09672,0.17342,0.41324,0.58371,0.07515,0.1428,0.38573,0.58493,0.00078,-0.58571,0.17718,0.17829,-0.18191,0.17244,-0.00362,-0.16882
"684",0.683,0.09616,0.17264,0.41258,0.58227,0.07472,0.14216,0.38507,0.5851,0.00077,-0.58588,0.17621,0.17752,-0.18112,0.1713,-0.0036,-0.1677
"685",0.684,0.0956,0.17186,0.41191,0.58084,0.07429,0.14152,0.38442,0.58527,0.00077,-0.58604,0.17525,0.17675,-0.18033,0.17017,-0.00358,-0.16659
"686",0.685,0.09505,0.17109,0.41125,0.5794,0.07386,0.14088,0.38376,0.58544,0.00077,-0.58621,0.1743,0.17598,-0.17955,0.16905,-0.00357,-0.16548
"687",0.686,0.0945,0.17032,0.41058,0.57798,0.07344,0.14025,0.3831,0.58561,0.00076,-0.58637,0.17335,0.17522,-0.17877,0.16793,-0.00355,-0.16438
"688",0.687,0.09396,0.16955,0.40992,0.57655,0.07302,0.13962,0.38244,0.58578,0.00076,-0.58654,0.1724,0.17446,-0.17799,0.16682,-0.00353,-0.16329
"689",0.688,0.09342,0.16879,0.40925,0.57513,0.0726,0.13899,0.38178,0.58594,0.00076,-0.5867,0.17146,0.1737,-0.17721,0.16571,-0.00351,-0.1622
"690",0.689,0.09288,0.16803,0.40859,0.57371,0.07218,0.13837,0.38112,0.58611,0.00075,-0.58686,0.17053,0.17294,-0.17644,0.16462,-0.0035,-0.16112
"691",0.69,0.09234,0.16728,0.40792,0.5723,0.07177,0.13775,0.38046,0.58627,0.00075,-0.58702,0.1696,0.17219,-0.17567,0.16353,-0.00348,-0.16004
"692",0.691,0.09181,0.16652,0.40726,0.57089,0.07135,0.13713,0.37981,0.58644,0.00075,-0.58718,0.16867,0.17144,-0.17491,0.16244,-0.00346,-0.15898
"693",0.692,0.09128,0.16578,0.4066,0.56948,0.07094,0.13651,0.37915,0.5866,0.00074,-0.58734,0.16775,0.1707,-0.17414,0.16136,-0.00345,-0.15791
"694",0.693,0.09075,0.16503,0.40593,0.56808,0.07054,0.1359,0.37849,0.58676,0.00074,-0.5875,0.16684,0.16996,-0.17339,0.16029,-0.00343,-0.15686
"695",0.694,0.09023,0.16429,0.40527,0.56668,0.07013,0.13529,0.37784,0.58692,0.00074,-0.58765,0.16593,0.16922,-0.17263,0.15922,-0.00341,-0.15581
"696",0.695,0.08971,0.16355,0.4046,0.56528,0.06973,0.13468,0.37718,0.58708,0.00073,-0.58781,0.16502,0.16848,-0.17188,0.15816,-0.0034,-0.15477
"697",0.696,0.08919,0.16281,0.40394,0.56389,0.06933,0.13407,0.37652,0.58724,0.00073,-0.58796,0.16412,0.16775,-0.17113,0.15711,-0.00338,-0.15373
"698",0.697,0.08868,0.16208,0.40327,0.5625,0.06893,0.13347,0.37587,0.58739,0.00073,-0.58812,0.16322,0.16702,-0.17038,0.15606,-0.00336,-0.1527
"699",0.698,0.08817,0.16135,0.40261,0.56112,0.06853,0.13287,0.37521,0.58755,0.00072,-0.58827,0.16233,0.16629,-0.16964,0.15502,-0.00335,-0.15167
"700",0.699,0.08766,0.16063,0.40195,0.55973,0.06814,0.13227,0.37456,0.5877,0.00072,-0.58842,0.16144,0.16556,-0.1689,0.15399,-0.00333,-0.15066
"701",0.7,0.08716,0.15991,0.40128,0.55835,0.06775,0.13168,0.37391,0.58786,0.00072,-0.58857,0.16056,0.16484,-0.16816,0.15296,-0.00332,-0.14964
"702",0.701,0.08665,0.15919,0.40062,0.55698,0.06736,0.13109,0.37325,0.58801,0.00071,-0.58872,0.15968,0.16412,-0.16742,0.15194,-0.0033,-0.14864
"703",0.702,0.08615,0.15847,0.39996,0.55561,0.06697,0.1305,0.3726,0.58816,0.00071,-0.58887,0.15881,0.16341,-0.16669,0.15092,-0.00328,-0.14764
"704",0.703,0.08566,0.15776,0.39929,0.55424,0.06659,0.12991,0.37195,0.58831,0.00071,-0.58902,0.15794,0.1627,-0.16596,0.14991,-0.00327,-0.14664
"705",0.704,0.08516,0.15705,0.39863,0.55287,0.0662,0.12933,0.37129,0.58846,7e-04,-0.58916,0.15707,0.16199,-0.16524,0.1489,-0.00325,-0.14565
"706",0.705,0.08467,0.15634,0.39797,0.55151,0.06582,0.12875,0.37064,0.58861,7e-04,-0.58931,0.15621,0.16128,-0.16452,0.1479,-0.00324,-0.14467
"707",0.706,0.08419,0.15564,0.39731,0.55015,0.06545,0.12817,0.36999,0.58876,7e-04,-0.58945,0.15536,0.16058,-0.1638,0.14691,-0.00322,-0.14369
"708",0.707,0.0837,0.15494,0.39664,0.54879,0.06507,0.12759,0.36934,0.5889,0.00069,-0.58959,0.1545,0.15988,-0.16308,0.14593,-0.0032,-0.14272
